scenarios,locs,techs,carriers,units,flow_out_sum
scen_0,PRT_1,battery,electricity,kilogram,2186627.023973747
scen_0,PRT_2,battery,electricity,kilogram,2392524.3514573355
scen_0,PRT_1,biofuel_boiler,heat,megajoule,32291365319.295486
scen_0,PRT_2,biofuel_boiler,heat,megajoule,1392863.5210272877
scen_0,PRT_1,biofuel_supply,biofuel,kilogram,2324535827.387161
scen_0,PRT_2,biofuel_supply,biofuel,kilogram,1836743801.9986584
scen_0,PRT_1,biofuel_to_diesel,diesel,kilogram,143060795.33757237
scen_0,PRT_2,biofuel_to_diesel,diesel,kilogram,134864602.96156612
scen_0,PRT_1,biofuel_to_methane,methane,cubic meter,102657130.16304854
scen_0,PRT_2,biofuel_to_methane,methane,cubic meter,82053854.19021083
scen_0,PRT_1,biofuel_to_methanol,methanol,kilogram,121004627.922645
scen_0,PRT_2,biofuel_to_methanol,methanol,kilogram,977077808.6059113
scen_0,PRT_1,ccgt,electricity,kilowatt hour,20144.593333594963
scen_0,PRT_2,ccgt,electricity,kilowatt hour,13881.400346505443
scen_0,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,85868.97253694251
scen_0,PRT_1,chp_biofuel_extraction,heat,megajoule,521146.1301012058
scen_0,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,69678.05661823627
scen_0,PRT_2,chp_biofuel_extraction,heat,megajoule,455502.6307597508
scen_0,PRT_1,chp_methane_extraction,electricity,kilowatt hour,58922.120918414126
scen_0,PRT_1,chp_methane_extraction,heat,megajoule,66611.99458375014
scen_0,PRT_2,chp_methane_extraction,electricity,kilowatt hour,42637.43026537456
scen_0,PRT_2,chp_methane_extraction,heat,megajoule,49072.849585717966
scen_0,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,223115113.8365524
scen_0,PRT_1,chp_wte_back_pressure,heat,megajoule,25482.1985840029
scen_0,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,218359715.42980307
scen_0,PRT_2,chp_wte_back_pressure,heat,megajoule,27329.759038686498
scen_0,PRT_ESP-sink,el_import,electricity,kilowatt hour,6454952493.619019
scen_0,PRT_1,existing_pv,electricity,kilowatt hour,311011200.0922836
scen_0,PRT_1,existing_pv,electricity,kilowatt hour,160490714.34690043
scen_0,PRT_1,existing_pv,electricity,kilowatt hour,309945846.7631529
scen_0,PRT_1,existing_pv,electricity,kilowatt hour,817217915.1759248
scen_0,PRT_1,existing_pv,electricity,kilowatt hour,173708674.4355432
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,350337334.5550663
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,1475959892.5706432
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,370790621.5308352
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,336656545.6530771
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,100028045.71686777
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,294555492.0654008
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,2459673136.6179614
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,2027260244.1186244
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,364.76967021947536
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,2353953496.2425146
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,511418982.79124475
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,1019781937.0607398
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,500855443.7339012
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,2122173130.3326514
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,1438099146.256956
scen_0,PRT_1,existing_wind,electricity,kilowatt hour,922156208.5065993
scen_0,PRT_1,heat_storage_big,heat,unit,32750.6789165293
scen_0,PRT_2,heat_storage_big,heat,unit,35057.07213752601
scen_0,PRT_1,heat_storage_small,heat,unit,1836552.0507097673
scen_0,PRT_2,heat_storage_small,heat,unit,1775887.6288204012
scen_0,PRT_1,hydro_reservoir,electricity,kilowatt hour,2157392847.8847084
scen_0,PRT_2,hydro_reservoir,electricity,kilowatt hour,393940793.2945773
scen_0,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2519490705.965859
scen_0,PRT_2,hydro_run_of_river,electricity,kilowatt hour,376776210.3658963
scen_0,PRT_1,methane_boiler,heat,megajoule,786299.5074964166
scen_0,PRT_2,methane_boiler,heat,megajoule,466480.9813737708
scen_0,PRT_1,methane_storage,methane,unit,2892.6771440010743
scen_0,PRT_2,methane_storage,methane,unit,2930.7961289037003
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,2936909.2732455838
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,17373978537.152752
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,627144.386803382
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,730258.4761483712
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,1426362.983465245
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,608558.2619740313
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,812692.2832661135
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,395797.73686298594
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,996103.6418456525
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,1247732.990615663
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,1249172.3934173961
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,457780.253125068
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,1601143.5772975637
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,40966621875.08711
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,1569367.276178002
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,858192.9821142827
scen_0,PRT_1,open_field_pv,electricity,kilowatt hour,39447363285.14897
scen_0,PRT_1,pumped_hydro,electricity,kilowatt hour,7851489989.176382
scen_0,PRT_2,pumped_hydro,electricity,kilowatt hour,1308997113.3567877
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,42594.165577476095
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,43610.48576215919
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,45133.034279152125
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,33507.21774022264
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,48664.724625864175
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,37939.388346501044
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,40575.02142381442
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,37299.368507021616
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,44258.58026087061
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,2.9846119665045463
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,40624.03310730279
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,43625.33612630097
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,41138.349944589696
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,46627.77117493041
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,38672.3974414381
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,41920.972133481075
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,42552.779034220745
scen_0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,44403.53070887512
scen_0,PRT_1,waste_supply,waste,kilowatt hour,1028180248.0947118
scen_0,PRT_2,waste_supply,waste,kilowatt hour,1006265969.7225946
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,88225.07017230029
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,103115.08045884066
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,62708.549686238286
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,74036.1799222436
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,84853.61402917151
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,66638.42684947672
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,337.2400206299344
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,23771.28106193383
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,84026.83214455601
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,63209.03202748667
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,67140.76852269385
scen_0,PRT_1,wind_offshore,electricity,kilowatt hour,118948.55503187959
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,995368.8742242359
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,1231811.2251628425
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,1840346.7301539115
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,1711801.4962592334
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,322644.0553903122
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,1383320.95101817
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,2060231.3982547903
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,595591.1769345164
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,454832.2104225949
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,744.3503981081975
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,542374.6247082851
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,2625888.5113971536
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,502273.5065846439
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,560059.7588405285
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,1149094.3149873451
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,612100.1049420602
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,1842246.420207235
scen_0,PRT_1,wind_onshore,electricity,kilowatt hour,56156251894.630516
scen_1,PRT_1,battery,electricity,kilogram,3017128733.6448874
scen_1,PRT_2,battery,electricity,kilogram,2861312847.507064
scen_1,PRT_1,biofuel_boiler,heat,megajoule,2239664.970708563
scen_1,PRT_2,biofuel_boiler,heat,megajoule,2483096.186394017
scen_1,PRT_1,biofuel_supply,biofuel,kilogram,330654615.8523545
scen_1,PRT_2,biofuel_supply,biofuel,kilogram,201990126.2981853
scen_1,PRT_1,biofuel_to_diesel,diesel,kilogram,142970247.78774634
scen_1,PRT_2,biofuel_to_diesel,diesel,kilogram,134773082.68154448
scen_1,PRT_1,biofuel_to_methane,methane,cubic meter,12482.233326536993
scen_1,PRT_2,biofuel_to_methane,methane,cubic meter,13301.2510102005
